name,formula_or_source,course_bucket,intent
driving_season,"1 if month in {5,6,7,8} else 0",seasonality,Gasoline demand season flag
gmm_resp_low_vol,"GMM 3-comp posterior, comp 0 (low vol)",Lecture 2 (GMM),P(low-vol regime); soft cluster membership
gmm_resp_med_vol,"GMM 3-comp posterior, comp 1 (mid vol)",Lecture 2 (GMM),P(medium-vol regime)
gmm_resp_high_vol,"GMM 3-comp posterior, comp 2 (high vol)",Lecture 2 (GMM),P(high-vol regime); risk-off warning
gmm_max_resp,argmax of GMM responsibilities,Lecture 2 (GMM),Hard vol-regime label (0/1/2)
hmm_filt_calm,HMM filtering p(calm | x_{1:t}),Lecture 3 (HMM),Calm-regime filtering posterior; no leakage
hmm_filt_turbulent,HMM filtering p(turbulent | x_{1:t}),Lecture 3 (HMM),Turbulent-regime posterior; key risk feature
hmm_next_turbulent,alpha_t @ Q (one-step forecast),Lecture 3 (HMM),P(turbulent at t+1); predictive risk signal
hmm_regime_age,bars since hard-regime last switched,Lecture 3 (HMM),Regime persistence; long age = stable regime
hmm_basket_turbulent_energy,basket HMM on energy mean logret/vol,Lecture 3 (basket HMM),Energy-wide turbulence
kmeans_cluster_id,"K=3 K-means on [ret_5d, vol_20d, volume_z_20d]",Lecture 2 (K-means),Hard cross-sectional cluster; categorical regime label
kmeans_cluster_size,fraction of instruments in same cluster,Lecture 2 (K-means),Cluster homogeneity; high = co-movement day
primary_signal,primary_signals.csv direct,meta-labeling,"Primary model signal {-1,0,+1}"
primary_signal_lag1,primary_signal.shift(1),meta-labeling,Signal yesterday
primary_signal_lag5,primary_signal.shift(5),meta-labeling,Signal 5 days ago
primary_signal_streak,bars since last sign flip,meta-labeling,Signal conviction length
primary_signal_agreement_5d,"rolling mean of signal, W=5",meta-labeling,"5-day signal agreement in [-1, 1]"
